beta_E,slope,intercept,R2,p_value,std_err,ci_lower,ci_upper,pass
0,-1.205349953206479,0.6189432939184267,0.8025815071539446,0.10413086493955791,0.42271484449784047,-3.0241451328591324,0.6134452264461743,False
1,-0.4751736051952135,0.46923093481553035,0.9809778887776909,0.009556721069959086,0.04678827780149791,-0.6764873164056756,-0.2738598939847514,True
10,-0.20901123818218045,-2.6490478603578897,0.6906093888066818,0.16897088570454888,0.09892178997607344,-0.6346373478704426,0.2166148715060817,False
