tau_c,feature_mode,null_stimulus,I_dec_bits_per_s_mean,I_dec_bits_per_s_std,r2_test_mean,r2_test_std,rate_mean_Hz_mean,rate_mean_Hz_std,seed_count
0.02,rate_lags,True,0.0,0.0,1.0,0.0,3.646637196295977,0.011294897728471979,2
0.1,rate_lags,True,0.0,0.0,1.0,0.0,2.2224260350220604,0.07699843566090812,2
