beta_E,beta_C,model,space,k,sse,aicc,params,slope,intercept,R2,p_value,slope_std_err,ci_lower,ci_upper,delta_aicc
1.0,0.03,exponential,log_rate,2,0.44361577511733363,-29.81760908891148,"[1.9039840942604167, -1.8950687078695827]",,,,,,,,0.0
1.0,0.03,power_law,log_rate,2,0.646958579267026,-25.667051069098733,"[1.1289051703295887, -0.19576072732255004]",-0.19576072732254998,1.128905170329589,0.4920280380861812,0.016154025466824293,0.0663024016753519,-0.34574718018317097,-0.045774274461929,4.150558019812749
1.0,0.03,logarithmic_rate,log_rate,2,12.308813020063292,6.736622625793996,"[2.9244472660536087, -0.9590800780025455]",,,,,,,,36.55423171470548
1.0,0.03,linear_tau_rate,rate,2,12.747030841518109,7.121434061625184,"[6.545711359930453, -7.948943002658799]",,,,,,,,36.93904315053666
1.0,0.03,offset_power_law,rate,3,11.976692566832643,10.364310652867523,"[4.76876321962423, 0.0009431658056336268, -1.8131639741219858]",,,,,,,,40.181919741779005
