N,tau_c,feature_mode,I_dec_bits_per_s_mean,I_dec_bits_per_s_std,r2_test_mean,r2_test_std,rate_mean_Hz_mean,rate_mean_Hz_std,seed_count,relative_to_N2000_I_dec
500,0.1,rate_lags,46.32223487167758,12.757715000688766,0.4697268401771889,0.09329796148502632,4.8718289821977665,0.5600908402418601,2,0.8744233543920221
1000,0.1,rate_lags,51.08763082842036,12.23440323292169,0.5039361684727243,0.08373376740200845,4.933631900567937,0.5136990296774516,2,0.964379582303836
2000,0.1,rate_lags,52.97460851086825,12.059974855813103,0.5168423951137893,0.08040333446190953,4.879998082072598,0.5308722623106852,2,1.0
4000,0.1,rate_lags,54.77859948212766,12.02784751049084,0.5287931026684979,0.07820762288817894,4.890418816623971,0.4945511797557419,2,1.034053880188455
