tau_c,feature_mode,null_stimulus,I_dec_bits_per_s_mean,I_dec_bits_per_s_std,r2_test_mean,r2_test_std,rate_mean_Hz_mean,rate_mean_Hz_std,seed_count,rate_lag_I_dec_mean,relative_to_rate_decoder
0.02,rate_lags,False,50.38307503554441,0.3134422010435215,0.5026458881627593,0.0021611119817540312,4.302092536662586,0.11997440621941821,2,50.38307503554441,1.0
0.02,spikecount_lags,False,72.53344176006837,3.8090572323457033,0.6338931651482257,0.019323199174787822,4.302092536662586,0.11997440621941821,2,50.38307503554441,1.4396390396754715
0.1,rate_lags,False,52.97460851086825,12.059974855813103,0.5168423951137893,0.08040333446190953,4.879998082072598,0.5308722623106852,2,52.97460851086825,1.0
0.1,spikecount_lags,False,48.33662363354374,11.34642201543004,0.4851682778337954,0.08064806999602263,4.879998082072598,0.5308722623106852,2,52.97460851086825,0.91244890698205
0.5,rate_lags,False,46.76980835162838,38.436924600545986,0.4395435533975016,0.28526552412196965,1.9480985776275748,0.2993978027787894,2,46.76980835162838,1.0
0.5,spikecount_lags,False,37.66792276933761,36.26050725330736,0.368908354249718,0.3045177347755848,1.9480985776275748,0.2993978027787894,2,46.76980835162838,0.8053897182160706
