theta0,thetaV,thetaa,thetaVV,thetaaa,thetaVa,J,I_lower_mean,I_lower_std,I_upper_mean,I_upper_std,rate_mean,rate_std,tau_c,beta_E,beta_C,dt_eff,cutoff,tau_ms,trial_count,seed_count
-5.5,5.0,0.0,0.0,0.0,0.5,48.81901546551535,48.81901546551535,2.2085182875851426,61.50530547559368,57.548514695617804,127.29223901633092,0.3556418590561896,0.02,0.0,0.0,0.01,50.0,20.0,20,3
-5.5,5.0,0.0,0.0,0.0,0.5,48.48901546551535,48.81901546551535,2.2085182875851426,61.50530547559368,57.548514695617804,127.29223901633092,0.3556418590561896,0.02,0.0,0.03,0.01,50.0,20.0,20,3
-4.0,5.0,-0.5,-1.0,0.0,0.5,34.87007247349512,34.87007247349512,0.661535518474868,84.54753681981067,45.633204256240305,44.0955542517436,0.3474752808989489,0.1,0.0,0.0,0.01,50.0,100.0,20,3
-4.0,5.0,-0.5,-1.0,0.0,0.5,34.54007247349512,34.87007247349512,0.661535518474868,84.54753681981067,45.633204256240305,44.0955542517436,0.3474752808989489,0.1,0.0,0.03,0.01,50.0,100.0,20,3
