theta0,thetaV,thetaa,thetaVV,thetaaa,thetaVa,J,I_lower_mean,I_lower_std,I_upper_mean,I_upper_std,rate_mean,rate_std,tau_c,beta_E,beta_C,dt_eff,cutoff,tau_ms,trial_count,seed_count
-5.5,5.0,0.0,0.0,0.0,0.5,48.81901546551535,48.81901546551535,2.2085182875851426,61.50530547559368,57.548514695617804,127.29223901633092,0.3556418590561896,0.02,0.0,0.0,0.01,50.0,20.0,20,3
-2.0,2.0,0.0,0.0,0.0,0.0,31.58114845343256,46.67481010028714,2.321814044696067,50.66791782506101,43.86760571274079,10.093661646854576,0.038452689928452376,0.02,1.0,0.0,0.01,50.0,20.0,20,3
-3.0,5.0,0.0,-2.0,-1.0,0.0,-50.742169552703096,1.0617377833411805,0.13228606585875421,1.985659667345523,0.1977092807270975,0.18039073360442748,0.0005128459560601639,0.02,10.0,0.0,0.01,50.0,20.0,20,3
-4.0,5.0,-0.5,-1.0,0.0,0.5,34.87007247349512,34.87007247349512,0.661535518474868,84.54753681981067,45.633204256240305,44.0955542517436,0.3474752808989489,0.1,0.0,0.0,0.01,50.0,100.0,20,3
-3.25,5.25,0.0,-1.0,0.0,0.0,14.14256392968117,24.385627777492342,1.117784048367199,65.68184605359916,45.83696532315075,5.243063847811173,0.03421061340580589,0.1,1.0,0.0,0.01,50.0,100.0,20,3
-3.5,5.0,0.0,-2.0,-0.5,0.0,-49.9947426308165,1.1060765156442611,0.11310729895149807,8.71493219523526,9.247590930330782,0.11008191464607654,0.0008450015086560345,0.1,10.0,0.0,0.01,50.0,100.0,20,3
